SM-000001 | 2026-06-27 12:05:11 | Rajan Sharma | 9876543210 | Cheese Burst | BBQ Chicken | Extra Cheese | 677.00 | 5 | 3385.00 | 338.50 | 548.37 | 3594.87 | UPI
SM-000033 | 2026-06-29 16:55:35 | Final UI | 9876543210 | Thin Crust | Margherita | Black Olives | 497.00 | 1 | 497.00 | 0.00 | 89.46 | 586.46 | UPI

SM-000034 | 2026-06-29 16:57:05 | Final UI | 9876543210 | Thin Crust | Margherita | Black Olives | 497.00 | 1 | 497.00 | 0.00 | 89.46 | 586.46 | UPI

SM-000035 | 2026-06-29 16:58:50 | Nancy Rodriguez | 9144461990 | Whole Wheat | Saurabh DilSeIndia | Jalapenos | 627.00 | 4 | 2508.00 | 0.00 | 451.44 | 2959.44 | Card

SM-000036 | 2026-06-29 16:59:49 | Karen Wilson | 9473540346 | Cheese Burst | California Veggie | Green Peppers | 607.00 | 5 | 3035.00 | 607.00 | 437.04 | 2865.04 | Cash

SM-000037 | 2026-06-29 17:03:47 | Reset One | 9876543210 | Thin Crust | Margherita | Black Olives | 497.00 | 1 | 497.00 | 0.00 | 89.46 | 586.46 | UPI

SM-000038 | 2026-06-29 17:05:01 | Final Inspect | 9876543210 | Thin Crust | Margherita | Black Olives | 497.00 | 1 | 497.00 | 0.00 | 89.46 | 586.46 | UPI

SM-000039 | 2026-06-29 17:06:09 | Inspect Broken | 9876543210 | Thin Crust | Margherita | Black Olives | 497.00 | 1 | 497.00 | 0.00 | 89.46 | 586.46 | UPI

SM-000040 | 2026-06-29 17:13:33 | Pay Flow Test | 9876543210 | Thin Crust | Margherita | Black Olives | 497.00 | 1 | 497.00 | 0.00 | 89.46 | 586.46 | UPI

SM-000041 | 2026-06-29 17:15:48 | Log Test | 9876543210 | Thin Crust | Margherita | Black Olives | 497.00 | 1 | 497.00 | 0.00 | 89.46 | 586.46 | UPI

SM-000042 | 2026-06-29 17:16:47 | DOM Test | 9876543210 | Thin Crust | Margherita | Black Olives | 497.00 | 1 | 497.00 | 0.00 | 89.46 | 586.46 | UPI

SM-000043 | 2026-06-29 17:23:39 | Final Flow Test | 9876543210 | Thin Crust | Margherita | Black Olives | 497.00 | 1 | 497.00 | 0.00 | 89.46 | 586.46 | UPI

SM-000044 | 2026-06-29 17:26:21 | Mounted HTML Test | 9876543210 | Thin Crust | Margherita | Black Olives | 497.00 | 1 | 497.00 | 0.00 | 89.46 | 586.46 | UPI

SM-000045 | 2026-06-29 17:28:52 | Final Actions Test | 9876543210 | Thin Crust | Margherita | Black Olives | 497.00 | 1 | 497.00 | 0.00 | 89.46 | 586.46 | UPI

SM-000046 | 2026-06-29 17:31:42 | Bill Summary Test | 9876543210 | Thin Crust | Margherita | Black Olives | 497.00 | 1 | 497.00 | 0.00 | 89.46 | 586.46 | UPI

SM-000047 | 2026-06-29 17:34:30 | Final Spacing Test | 9876543210 | Thin Crust | Margherita | Black Olives | 497.00 | 1 | 497.00 | 0.00 | 89.46 | 586.46 | UPI

SM-000048 | 2026-06-29 17:36:17 | Spacing Check | 9876543210 | Thin Crust | Margherita | Black Olives | 497.00 | 1 | 497.00 | 0.00 | 89.46 | 586.46 | UPI

SM-000049 | 2026-06-29 17:36:57 | Spacing DOM | 9876543210 | Thin Crust | Margherita | Black Olives | 497.00 | 1 | 497.00 | 0.00 | 89.46 | 586.46 | UPI

SM-000050 | 2026-06-29 17:38:43 | Children Inspect | 9876543210 | Thin Crust | Margherita | Black Olives | 497.00 | 1 | 497.00 | 0.00 | 89.46 | 586.46 | UPI

SM-000051 | 2026-06-29 17:40:19 | Final Gap Check | 9876543210 | Thin Crust | Margherita | Black Olives | 497.00 | 1 | 497.00 | 0.00 | 89.46 | 586.46 | UPI

SM-000052 | 2026-06-29 17:42:59 | James Scott | 8420542989 | Thick Crust | Chicago Deep Dish | Extra Cheese | 597.00 | 3 | 1791.00 | 0.00 | 322.38 | 2113.38 | Cash

SM-000053 | 2026-06-29 17:43:30 | Lisa Perez | 9481602165 | Whole Wheat | Farm House | Sun-Dried Tomatoes | 537.00 | 7 | 3759.00 | 375.90 | 608.96 | 3992.06 | Cash

SM-000054 | 2026-06-29 17:44:12 | Betty Anderson | 7049878809 | Whole Wheat | Chicago Deep Dish | Sweet Corn | 547.00 | 7 | 3829.00 | 382.90 | 620.30 | 4066.40 | UPI

SM-000055 | 2026-06-29 17:45:06 | Charles Sanchez | 9525935646 | Thick Crust | Greek Mediterranean | Extra Cheese | 577.00 | 4 | 2308.00 | 0.00 | 415.44 | 2723.44 | Card

SM-000056 | 2026-06-29 17:45:45 | Robert Hernandez | 9265707823 | Thick Crust | Chicago Deep Dish | Extra Cheese | 597.00 | 3 | 1791.00 | 0.00 | 322.38 | 2113.38 | UPI

SM-000057 | 2026-06-29 17:53:53 | Bill Toggle Test | 9876543210 | Thin Crust | Margherita | Black Olives | 497.00 | 1 | 497.00 | 0.00 | 89.46 | 586.46 | UPI

SM-000058 | 2026-06-29 17:57:13 | Amit Jackson | 8377306334 | Thin Crust | Chicago Deep Dish | Button Mushrooms | 547.00 | 4 | 2188.00 | 0.00 | 393.84 | 2581.84 | UPI

SM-000059 | 2026-06-29 20:53:46 | Joshua Harris | 6368045829 | Thin Crust | Chicago Deep Dish | Button Mushrooms | 547.00 | 4 | 2188.00 | 0.00 | 393.84 | 2581.84 | Cash

SM-000060 | 2026-06-29 23:10:14 | Joseph Clark | 9494148662 | Multigrain | Farm House | Black Olives | 537.00 | 3 | 1611.00 | 0.00 | 289.98 | 1900.98 | Card

SM-000061 | 2026-06-30 18:25:01 | Aman Sharma | 9811122233 | Thin Crust | Margherita | Black Olives | 497.00 | 2 | 994.00 | 0.00 | 178.92 | 1172.92 | UPI

SM-000062 | 2026-06-30 18:25:48 | Aman Sharma | 9811122233 | Thin Crust | Margherita | Black Olives | 497.00 | 2 | 994.00 | 0.00 | 178.92 | 1172.92 | UPI

SM-000063 | 2026-07-01 16:42:46 | mouli | 8790534222 | Thin Crust | Margherita | Black Olives | 497.00 | 5 | 2485.00 | 248.50 | 402.57 | 2639.07 | UPI

SM-000064 | 2026-07-01 20:23:59 | Mouli | 8790312333 | Multigrain4 | Paneer Tikka | Peri-Peri Drizzle | 4577.00 | 4 | 18308.00 | 0.00 | 3295.44 | 21603.44 | Card

SM-000065 | 2026-07-01 22:15:59 | Aarav Sharma | 9876543210 | Thin Crust | Margherita | Black Olives + Extra Cheese | 566.00 | 2 | 1132.00 | 0.00 | 203.76 | 1335.76 | Cash

SM-000066 | 2026-07-01 22:20:23 | Aarav Sharma | 9876543210 | Cheese Burst | BBQ Chicken | Black Olives + Extra Cheese + Button Mushrooms | 775.00 | 5 | 3875.00 | 387.50 | 627.75 | 4115.25 | UPI

SM-000067 | 2026-07-01 22:20:24 | Aarav Sharma | 9876543210 | Thin Crust | Margherita | Black Olives | 497.00 | 1 | 497.00 | 0.00 | 89.46 | 586.46 | UPI

SM-000068 | 2026-07-01 22:22:13 | Aarav Sharma | 9876543210 | Multigrain4 | Paneer Tikka | Button Mushrooms + Jalapenos | 606.00 | 2 | 1212.00 | 0.00 | 218.16 | 1430.16 | UPI

SM-000069 | 2026-07-01 22:22:13 | Aarav Sharma | 9876543210 | Multigrain4 | Pepperoni Classic | Button Mushrooms | 587.00 | 2 | 1174.00 | 0.00 | 211.32 | 1385.32 | UPI

SM-000070 | 2026-07-01 22:29:55 | Aarav Sharma | 9876543210 | Multigrain2 | Chicago Deep Dish | Sweet Corn | 557.00 | 1 | 557.00 | 0.00 | 100.26 | 657.26 | Cash

SM-000071 | 2026-07-01 22:58:24 | Aarav Sharma | 9876543210 | Multigrain4 | Margherita | Green Peppers + Sun-Dried Tomatoes | 566.00 | 1 | 566.00 | 0.00 | 101.88 | 667.88 | Cash

SM-000072 | 2026-07-01 23:38:15 | Aarav Sharma | 9876543210 | Thin Crust | Margherita | Black Olives + Extra Cheese + Green Peppers | 605.00 | 4 | 2420.00 | 0.00 | 435.60 | 2855.60 | Cash

SM-000073 | 2026-07-01 23:38:17 | Aarav Sharma | 9876543210 | Cheese Burst | Mouli BBQ | Black Olives + Sun-Dried Tomatoes | 796.00 | 3 | 2388.00 | 0.00 | 429.84 | 2817.84 | Cash

SM-000074 | 2026-07-01 23:40:08 | Mouli | 9886756678 | Thick Crust | Greek Mediterranean | Peri-Peri Drizzle | 567.00 | 1 | 567.00 | 0.00 | 102.06 | 669.06 | Cash

SM-000075 | 2026-07-01 23:41:18 | Mouli | 9886756678 | Multigrain | Margherita | Black Olives | 517.00 | 1 | 517.00 | 0.00 | 93.06 | 610.06 | Cash

SM-000076 | 2026-07-02 00:44:25 | Aarav Sharma | 9876543210 | Thin Crust | Margherita | Button Mushrooms + Green Peppers | 536.00 | 2 | 1072.00 | 0.00 | 192.96 | 1264.96 | UPI

SM-000077 | 2026-07-02 00:52:12 | Mouli | 9086423289 | Multigrain2 | Mouli BBQ | Extra Cheese | 697.00 | 2 | 1394.00 | 0.00 | 250.92 | 1644.92 | Card

SM-000077 | 2026-07-02 00:52:12 | Mouli | 9086423289 | Multigrain2 | Mouli BBQ | Black Olives | 677.00 | 2 | 1354.00 | 0.00 | 243.72 | 1597.72 | Card

SM-000077 | 2026-07-02 00:52:12 | Mouli | 9086423289 | Multigrain2 | Mouli BBQ | Button Mushrooms | 677.00 | 2 | 1354.00 | 0.00 | 243.72 | 1597.72 | Card

SM-000077 | 2026-07-02 00:52:12 | Mouli | 9086423289 | Multigrain2 | Mouli BBQ | Green Peppers | 667.00 | 2 | 1334.00 | 0.00 | 240.12 | 1574.12 | Card

SM-000077 | 2026-07-02 00:52:12 | Mouli | 9086423289 | Multigrain2 | Mouli BBQ | Jalapenos | 667.00 | 2 | 1334.00 | 0.00 | 240.12 | 1574.12 | Card

SM-000077 | 2026-07-02 00:52:12 | Mouli | 9086423289 | Multigrain2 | Mouli BBQ | Sun-Dried Tomatoes | 687.00 | 2 | 1374.00 | 0.00 | 247.32 | 1621.32 | Card

SM-000077 | 2026-07-02 00:52:12 | Mouli | 9086423289 | Multigrain2 | Mouli BBQ | Caramelised Onions | 677.00 | 2 | 1354.00 | 0.00 | 243.72 | 1597.72 | Card

SM-000077 | 2026-07-02 00:52:12 | Mouli | 9086423289 | Multigrain2 | Mouli BBQ | Sweet Corn | 667.00 | 2 | 1334.00 | 0.00 | 240.12 | 1574.12 | Card

SM-000077 | 2026-07-02 00:52:12 | Mouli | 9086423289 | Multigrain2 | Mouli BBQ | Roasted Garlic | 677.00 | 2 | 1354.00 | 0.00 | 243.72 | 1597.72 | Card

SM-000078 | 2026-07-02 01:50:17 | Mauli | 8790312333 | Multigrain | Margherita | Roasted Garlic | 517.00 | 1 | 517.00 | 0.00 | 93.06 | 610.06 | Cash
